IC,Method,MSE,RMSE,R2
"[-0.14235884270194815, 2.0572217375814947, 0.2832619411060342]",RNN,2.6916319256997667e-05,0.005188093990763628,0.9982020854949951
"[-0.14235884270194815, 2.0572217375814947, 0.2832619411060342]",Transfer,0.0001581508113304153,0.012575802611778514,0.9905853867530823
"[-0.14235884270194815, 2.0572217375814947, 0.2832619411060342]",MAML,0.004330412019044161,0.06580586614462393,0.7499826550483704
"[-0.14235884270194815, 2.0572217375814947, 0.2832619411060342]",PINN,4.658418401959352e-05,0.006825260729055962,0.9968189597129822
"[-0.14235884270194815, 2.0572217375814947, 0.2832619411060342]",Hybrid,0.00015646241081412882,0.01250849354695156,0.9903489947319031
"[-0.14235884270194815, 2.0572217375814947, 0.2832619411060342]",RC(ESN),5.401885006502611e-06,0.0023241955611571522,0.9996338795243682
"[1.329811978256545, -0.1546218510474288, -0.06903085913008591]",RNN,6.447777559515089e-05,0.008029805451886795,0.997624397277832
"[1.329811978256545, -0.1546218510474288, -0.06903085913008591]",Transfer,0.00027732091257348657,0.016652955070301685,0.9879646301269531
"[1.329811978256545, -0.1546218510474288, -0.06903085913008591]",MAML,0.006227405276149511,0.07891391053641628,0.7172043919563293
"[1.329811978256545, -0.1546218510474288, -0.06903085913008591]",PINN,8.148900815285742e-05,0.009027126239997834,0.9974775314331055
"[1.329811978256545, -0.1546218510474288, -0.06903085913008591]",Hybrid,0.0002605136833153665,0.01614043628020527,0.9889335632324219
"[1.329811978256545, -0.1546218510474288, -0.06903085913008591]",RC(ESN),6.403703308321039e-06,0.0025305539528571682,0.9997603639436269
"[0.7551804850779186, 0.8256466485126221, -0.11306920970132295]",RNN,9.886270709102973e-05,0.009942972749184709,0.9965360164642334
"[0.7551804850779186, 0.8256466485126221, -0.11306920970132295]",Transfer,8.03317452664487e-05,0.008962797848130276,0.9969847202301025
"[0.7551804850779186, 0.8256466485126221, -0.11306920970132295]",MAML,0.0014423265820369124,0.037977974959664616,0.9386999607086182
"[0.7551804850779186, 0.8256466485126221, -0.11306920970132295]",PINN,7.891569111961871e-05,0.008883450406211468,0.9974212646484375
"[0.7551804850779186, 0.8256466485126221, -0.11306920970132295]",Hybrid,8.140882709994912e-05,0.009022684029708074,0.996969997882843
"[0.7551804850779186, 0.8256466485126221, -0.11306920970132295]",RC(ESN),7.262734043838773e-07,0.0008522167590372049,0.9999709208972375
"[-2.367837594728107, -0.167049432606533, 0.6853979675127337]",RNN,5.178751962375827e-05,0.0071963546065878575,0.9977462887763977
"[-2.367837594728107, -0.167049432606533, 0.6853979675127337]",Transfer,0.00015211950812954456,0.01233367374830162,0.9938390851020813
"[-2.367837594728107, -0.167049432606533, 0.6853979675127337]",MAML,0.004528530407696962,0.06729435643274229,0.8537470698356628
