IC,Method,MSE,RMSE,R2
0.6,RNN,3.2586412999080494e-05,0.005708451015738025,0.9994580149650574
0.6,Transfer,1.9975488612544723e-05,0.004469394658401149,0.9996676445007324
0.6,MAML,0.00016562518430873752,0.0128695448368906,0.9972448348999023
0.6,PINN,0.00015181743947323412,0.01232142197448144,0.9974744915962219
0.6,Hybrid,4.973202885594219e-05,0.007052093934140568,0.9991726875305176
0.6,RC(ESN),1.5539610761943726e-06,0.001246579751237109,0.9999741538654264
0.7,RNN,4.6046730858506635e-05,0.006785774153219855,0.9992372989654541
0.7,Transfer,3.314275818411261e-05,0.00575697474235493,0.9994509816169739
0.7,MAML,0.00017722026677802205,0.013312410254271089,0.9970645308494568
0.7,PINN,0.00016409321688115597,0.012809887465592973,0.9972818493843079
0.7,Hybrid,6.27658810117282e-05,0.007922492096034442,0.9989603161811829
0.7,RC(ESN),7.328289593727668e-06,0.0027070813792214794,0.9998786196416317
0.8,RNN,3.400075001991354e-05,0.005831016208167624,0.9994378685951233
0.8,Transfer,2.1370125978137366e-05,0.0046227833583391475,0.9996466636657715
0.8,MAML,0.0001652101636864245,0.012853410585771564,0.9972684383392334
0.8,PINN,0.00015513044490944594,0.01245513728986742,0.9974349141120911
0.8,Hybrid,5.1783197704935446e-05,0.007196054315035111,0.9991437792778015
0.8,RC(ESN),6.8157487258748625e-06,0.002610698896057311,0.9998873257621272
0.9,RNN,3.755779835046269e-05,0.006128441755492394,0.9993736147880554
0.9,Transfer,2.4972141545731574e-05,0.0049972133780469665,0.9995835423469543
0.9,MAML,0.0001705472095636651,0.01305937247970457,0.9971553683280945
0.9,PINN,0.00015454473032150418,0.012431602081851888,0.9974219799041748
0.9,Hybrid,5.385561962611973e-05,0.007338638812894373,0.9991016387939453
0.9,RC(ESN),3.0379738595108618e-06,0.001742978444935812,0.9999493486455774
1.0,RNN,0.0001995428465306759,0.014125963561140736,-29489.099609375
1.0,Transfer,0.00023718255397398025,0.015400732254473495,-35051.80859375
1.0,MAML,0.0002029097086051479,0.014244637889576129,-29986.681640625
1.0,PINN,0.000558007915969938,0.023622191176305766,-82466.0546875
1.0,Hybrid,0.00044658707338385284,0.021132606876196152,-65999.3515625
1.0,RC(ESN),2.959173240513717e-07,0.0005439828343352129,0.0
1.1,RNN,4.552291284198873e-05,0.006747066980695295,0.9992436766624451
1.1,Transfer,3.265431951149367e-05,0.005714395813337896,0.9994574189186096
1.1,MAML,0.0001764519402058795,0.013283521378229475,0.9970688819885254
1.1,PINN,0.00016152295575011522,0.012709168176954588,0.9973170161247253
1.1,Hybrid,6.102882252889685e-05,0.007812094631332678,0.9989862442016602
1.1,RC(ESN),2.3645486120213373e-06,0.001537708884028878,0.9999607042468988
1.2000000000000002,RNN,3.541897240211256e-05,0.005951384074491627,0.9994136691093445
1.2000000000000002,Transfer,2.3182617951533757e-05,0.004814833117724202,0.9996162056922913
1.2000000000000002,MAML,0.00016929714183788747,0.013011423513124436,0.9971973896026611
1.2000000000000002,PINN,0.0001571445754962042,0.012535731948961105,0.9973985552787781
1.2000000000000002,Hybrid,5.3635147196473554e-05,0.007323602064317364,0.9991121292114258
1.2000000000000002,RC(ESN),1.0548322418016311e-05,0.00324781810112825,0.9998253860689571
1.3,RNN,7.189450116129592e-05,0.008479062516652175,0.9988090991973877
1.3,Transfer,6.068079892429523e-05,0.007789788118061699,0.9989948272705078
1.3,MAML,0.00020370708080008626,0.014272598950439483,0.9966256022453308
1.3,PINN,0.0001918785274028778,0.013852022502251352,0.9968214631080627
1.3,Hybrid,9.050365042639896e-05,0.009513340655437446,0.9985008239746094
1.3,RC(ESN),2.8422477159318086e-05,0.0053312735025806066,0.999529231178116
1.4,RNN,5.974458690616302e-05,0.007729462265006733,0.9990107417106628
1.4,Transfer,4.7929261199897155e-05,0.006923096214837488,0.9992063641548157
1.4,MAML,0.00018991394608747214,0.013780926895077563,0.9968563914299011
1.4,PINN,0.0001802776678232476,0.01342675194614273,0.9970161318778992
1.4,Hybrid,7.821972394594923e-05,0.00884419153715868,0.9987051486968994
1.4,RC(ESN),1.1448366382890923e-05,0.003383543465494558,0.9998104016485049
1.5,RNN,4.5224864152260125e-05,0.006724943431156884,0.9992478489875793
1.5,Transfer,3.3091662771767005e-05,0.0057525353342475875,0.9994496703147888
1.5,MAML,0.0001733970857458189,0.013168032721170574,0.9971169829368591
1.5,PINN,0.0001635906082810834,0.012790254425971495,0.9972802996635437
1.5,Hybrid,6.278752698563039e-05,0.007923858087171325,0.998956024646759
1.5,RC(ESN),4.035271629781526e-06,0.002008798553808103,0.9999328627322622
1.6,RNN,3.435889448155649e-05,0.0058616460556362915,0.9994320869445801
1.6,Transfer,2.1852034478797577e-05,0.004674615971264119,0.9996388554573059
1.6,MAML,0.00016470793343614787,0.012833858867704127,0.9972783923149109
1.6,PINN,0.0001548577711218968,0.012444186237833986,0.9974414706230164
1.6,Hybrid,5.2179908379912376e-05,0.007223566181597036,0.9991378784179688
1.6,RC(ESN),1.139296333699613e-06,0.0010673782524014686,0.9999811690965924
