IC,Method,MSE,RMSE,R2
"[0.1, 0.0, 0.0]",RNN,0.0018264822429046035,0.04273736354648709,0.9528236985206604
"[0.1, 0.0, 0.0]",Transfer,4.9308491725241765e-05,0.007022000550074157,0.9986994862556458
"[0.1, 0.0, 0.0]",MAML,0.00024040050629992038,0.015504854281802212,0.9939165115356445
"[0.1, 0.0, 0.0]",PINN,0.0014202035963535309,0.03768558870912767,0.963357150554657
"[0.1, 0.0, 0.0]",Hybrid,0.0001034340457408689,0.010170252983130209,0.9972376823425293
"[0.1, 0.0, 0.0]",RC(ESN),2.081799096703528e-09,4.5626736643151764e-05,0.9999999415080257
"[2.0, 2.0, 2.0]",RNN,0.002190762897953391,0.04680558618320457,0.9483170509338379
"[2.0, 2.0, 2.0]",Transfer,3.814985393546522e-05,0.006176556802577405,0.9990637898445129
"[2.0, 2.0, 2.0]",MAML,0.00020587250764947385,0.01434825800051957,0.9951501488685608
"[2.0, 2.0, 2.0]",PINN,0.0016954336315393448,0.04117564366879217,0.9600856900215149
"[2.0, 2.0, 2.0]",Hybrid,0.00010518823546590284,0.010256131603382575,0.9973894953727722
"[2.0, 2.0, 2.0]",RC(ESN),1.1679782701361931e-10,1.0807304336124681e-05,0.999999997294197
"[5.0, 5.0, 5.0]",RNN,0.0022759397979825735,0.047706810813368916,0.948495090007782
"[5.0, 5.0, 5.0]",Transfer,3.61780657840427e-05,0.006014820511373776,0.9991312026977539
"[5.0, 5.0, 5.0]",MAML,0.00017865972768049687,0.01336636553744124,0.9959049224853516
"[5.0, 5.0, 5.0]",PINN,0.0017557148821651936,0.041901251558458176,0.960387647151947
"[5.0, 5.0, 5.0]",Hybrid,0.00010498335905140266,0.010246138738637237,0.9974729418754578
"[5.0, 5.0, 5.0]",RC(ESN),6.228806971198674e-11,7.892279120253335e-06,0.9999999986043813
"[10.0, 1.0, 1.0]",RNN,0.0020019293297082186,0.044742924912305616,0.9505705833435059
"[10.0, 1.0, 1.0]",Transfer,3.698599539347924e-05,0.006081611249782351,0.999060332775116
"[10.0, 1.0, 1.0]",MAML,0.00021180759358685464,0.014553611015375346,0.9948260188102722
"[10.0, 1.0, 1.0]",PINN,0.0015510051744058728,0.0393828030288078,0.9617874622344971
"[10.0, 1.0, 1.0]",Hybrid,9.584700455889106e-05,0.009790148342026848,0.9975330233573914
"[10.0, 1.0, 1.0]",RC(ESN),1.0390867123495371e-10,1.019356028259772e-05,0.9999999975764746
"[-10.0, -10.0, 10.0]",RNN,0.0024416695814579725,0.049413253095277714,0.9466433525085449
"[-10.0, -10.0, 10.0]",Transfer,3.0860406695865095e-05,0.00555521436992895,0.999279260635376
"[-10.0, -10.0, 10.0]",MAML,0.0001716557308100164,0.013101745334497095,0.9961247444152832
"[-10.0, -10.0, 10.0]",PINN,0.001886991667561233,0.043439517349542836,0.9589783549308777
"[-10.0, -10.0, 10.0]",Hybrid,0.0001058258640114218,0.010287169873751565,0.997527539730072
