IC,Method,MSE,RMSE,R2
"[np.float64(10.336713517847507), np.float64(-0.7152960455649762), np.float64(19.529710442153778)]",RNN,0.0023602673318237066,0.048582582597302366,0.9468348026275635
"[np.float64(10.336713517847507), np.float64(-0.7152960455649762), np.float64(19.529710442153778)]",Transfer,3.891122105414979e-05,0.006237885944304351,0.999065637588501
"[np.float64(10.336713517847507), np.float64(-0.7152960455649762), np.float64(19.529710442153778)]",MAML,0.0001646841410547495,0.012832931896287359,0.99615079164505
"[np.float64(10.336713517847507), np.float64(-0.7152960455649762), np.float64(19.529710442153778)]",PINN,0.0018118313746526837,0.04256561258401767,0.9593266844749451
"[np.float64(10.336713517847507), np.float64(-0.7152960455649762), np.float64(19.529710442153778)]",Hybrid,0.00011025776620954275,0.010500369812989576,0.9973265528678894
"[np.float64(10.336713517847507), np.float64(-0.7152960455649762), np.float64(19.529710442153778)]",RC(ESN),9.412284047501447e-11,9.701692660304926e-06,0.9999999978887527
"[np.float64(-28.11321674242211), np.float64(18.48299780189086), np.float64(3.937045176631834)]",RNN,0.0018042378360405564,0.04247632088635451,0.9493277072906494
"[np.float64(-28.11321674242211), np.float64(18.48299780189086), np.float64(3.937045176631834)]",Transfer,7.135419582482427e-05,0.008447141281216047,0.9979652762413025
"[np.float64(-28.11321674242211), np.float64(18.48299780189086), np.float64(3.937045176631834)]",MAML,0.00015873298980295658,0.012598928121191762,0.9955883026123047
"[np.float64(-28.11321674242211), np.float64(18.48299780189086), np.float64(3.937045176631834)]",PINN,0.0013887420063838363,0.03726582893729638,0.9609515070915222
"[np.float64(-28.11321674242211), np.float64(18.48299780189086), np.float64(3.937045176631834)]",Hybrid,0.00011798203195212409,0.010861953413273511,0.996531069278717
"[np.float64(-28.11321674242211), np.float64(18.48299780189086), np.float64(3.937045176631834)]",RC(ESN),4.453327686816554e-10,2.1102909009936414e-05,0.9999999881562728
"[np.float64(-12.142650077763363), np.float64(-27.198256769582805), np.float64(29.43764396824777)]",RNN,0.0023602161090821028,0.04858205542257452,0.9464635848999023
"[np.float64(-12.142650077763363), np.float64(-27.198256769582805), np.float64(29.43764396824777)]",Transfer,3.541148907970637e-05,0.005950755336905255,0.999156653881073
"[np.float64(-12.142650077763363), np.float64(-27.198256769582805), np.float64(29.43764396824777)]",MAML,0.00016099627828225493,0.012688430883377776,0.9962465763092041
"[np.float64(-12.142650077763363), np.float64(-27.198256769582805), np.float64(29.43764396824777)]",PINN,0.0018109999364241958,0.04255584491493731,0.9590287804603577
"[np.float64(-12.142650077763363), np.float64(-27.198256769582805), np.float64(29.43764396824777)]",Hybrid,0.00010510277934372425,0.010251964657748497,0.9974673390388489
"[np.float64(-12.142650077763363), np.float64(-27.198256769582805), np.float64(29.43764396824777)]",RC(ESN),4.107178270890739e-11,6.408727073991167e-06,0.999999999092962
"[np.float64(-29.59045601738069), np.float64(16.18758169139639), np.float64(14.806026059657981)]",RNN,0.002442472381517291,0.04942137575500394,0.9464154243469238
"[np.float64(-29.59045601738069), np.float64(16.18758169139639), np.float64(14.806026059657981)]",Transfer,3.455866317381151e-05,0.005878661682203825,0.9991912245750427
"[np.float64(-29.59045601738069), np.float64(16.18758169139639), np.float64(14.806026059657981)]",MAML,0.00017190010112244636,0.013111067886425055,0.9961028695106506
"[np.float64(-29.59045601738069), np.float64(16.18758169139639), np.float64(14.806026059657981)]",PINN,0.0018726550042629242,0.04327418403925052,0.9590577483177185
"[np.float64(-29.59045601738069), np.float64(16.18758169139639), np.float64(14.806026059657981)]",Hybrid,0.00010952939192065969,0.010465629074291697,0.9974250793457031
"[np.float64(-29.59045601738069), np.float64(16.18758169139639), np.float64(14.806026059657981)]",RC(ESN),9.085037959216899e-11,9.531546547762803e-06,0.9999999978835089
"[np.float64(-7.3536638199020885), np.float64(-0.3511528655414473), np.float64(25.736903525734753)]",RNN,0.0021896224934607744,0.04679340224284589,0.9487042427062988
"[np.float64(-7.3536638199020885), np.float64(-0.3511528655414473), np.float64(25.736903525734753)]",Transfer,3.6950841604266316e-05,0.006078720392012312,0.9990818500518799
"[np.float64(-7.3536638199020885), np.float64(-0.3511528655414473), np.float64(25.736903525734753)]",MAML,0.0002040470571955666,0.014284504093442186,0.995161235332489
"[np.float64(-7.3536638199020885), np.float64(-0.3511528655414473), np.float64(25.736903525734753)]",PINN,0.0017075113719329238,0.04132204462430343,0.9601934552192688
"[np.float64(-7.3536638199020885), np.float64(-0.3511528655414473), np.float64(25.736903525734753)]",Hybrid,0.00010508381092222407,0.010251039504470953,0.997366726398468
"[np.float64(-7.3536638199020885), np.float64(-0.3511528655414473), np.float64(25.736903525734753)]",RC(ESN),1.6550050588388493e-10,1.2864699991989122e-05,0.9999999957121584
"[np.float64(-6.272757339250781), np.float64(28.437377809737598), np.float64(1.4648829225144055)]",RNN,0.0023231375962495804,0.048198937708725284,0.9480676054954529
"[np.float64(-6.272757339250781), np.float64(28.437377809737598), np.float64(1.4648829225144055)]",Transfer,4.121589518035762e-05,0.006419960683708088,0.9990320205688477
"[np.float64(-6.272757339250781), np.float64(28.437377809737598), np.float64(1.4648829225144055)]",MAML,0.00019452802371233702,0.013947330343558119,0.9955849051475525
"[np.float64(-6.272757339250781), np.float64(28.437377809737598), np.float64(1.4648829225144055)]",PINN,0.0017935708165168762,0.04235057043909652,0.9600756764411926
"[np.float64(-6.272757339250781), np.float64(28.437377809737598), np.float64(1.4648829225144055)]",Hybrid,0.00011220431042602286,0.010592653606439836,0.99733567237854
"[np.float64(-6.272757339250781), np.float64(28.437377809737598), np.float64(1.4648829225144055)]",RC(ESN),2.6638393580875297e-09,5.161239539187781e-05,0.9999999408689394
"[np.float64(-24.383214402134847), np.float64(18.798504766927735), np.float64(-17.29879286463819)]",RNN,0.002389457542449236,0.04888207792687659,0.9473668932914734
"[np.float64(-24.383214402134847), np.float64(18.798504766927735), np.float64(-17.29879286463819)]",Transfer,4.880041888100095e-05,0.006985729659885283,0.9988705515861511
"[np.float64(-24.383214402134847), np.float64(18.798504766927735), np.float64(-17.29879286463819)]",MAML,0.0001931993756443262,0.013899617823678686,0.9956647753715515
"[np.float64(-24.383214402134847), np.float64(18.798504766927735), np.float64(-17.29879286463819)]",PINN,0.0018528248183429241,0.04304445165573519,0.9593303799629211
"[np.float64(-24.383214402134847), np.float64(18.798504766927735), np.float64(-17.29879286463819)]",Hybrid,0.00011821271618828177,0.010872567138826127,0.9972410798072815
"[np.float64(-24.383214402134847), np.float64(18.798504766927735), np.float64(-17.29879286463819)]",RC(ESN),3.488623393673152e-08,0.00018677856926513684,0.9999992583706891
"[np.float64(3.260747075441124), np.float64(-12.463853042450303), np.float64(18.968541599231294)]",RNN,0.002339036436751485,0.04836358585497445,0.9474061131477356
"[np.float64(3.260747075441124), np.float64(-12.463853042450303), np.float64(18.968541599231294)]",Transfer,3.892359745805152e-05,0.006238877900556439,0.9990660548210144
"[np.float64(3.260747075441124), np.float64(-12.463853042450303), np.float64(18.968541599231294)]",MAML,0.00016662257257848978,0.012908236617698398,0.9961249828338623
"[np.float64(3.260747075441124), np.float64(-12.463853042450303), np.float64(18.968541599231294)]",PINN,0.0017976105445995927,0.042398237517609065,0.959740400314331
"[np.float64(3.260747075441124), np.float64(-12.463853042450303), np.float64(18.968541599231294)]",Hybrid,0.00011003025429090485,0.010489530699268907,0.9973392486572266
"[np.float64(3.260747075441124), np.float64(-12.463853042450303), np.float64(18.968541599231294)]",RC(ESN),1.1620762174447696e-10,1.0779963902744617e-05,0.9999999974139587
"[np.float64(19.682553972408684), np.float64(-16.705357696225338), np.float64(8.690082096198694)]",RNN,0.0023303001653403044,0.048273182672580274,0.9464254975318909
"[np.float64(19.682553972408684), np.float64(-16.705357696225338), np.float64(8.690082096198694)]",Transfer,3.270439992775209e-05,0.00571877608651992,0.9992111325263977
"[np.float64(19.682553972408684), np.float64(-16.705357696225338), np.float64(8.690082096198694)]",MAML,0.0001900264178402722,0.013785006994567401,0.9955828785896301
"[np.float64(19.682553972408684), np.float64(-16.705357696225338), np.float64(8.690082096198694)]",PINN,0.0018016822868958116,0.04244622818220497,0.9587108492851257
"[np.float64(19.682553972408684), np.float64(-16.705357696225338), np.float64(8.690082096198694)]",Hybrid,0.00010418380406918004,0.010207046784902087,0.9974624514579773
"[np.float64(19.682553972408684), np.float64(-16.705357696225338), np.float64(8.690082096198694)]",RC(ESN),1.3051891902056e-10,1.1424487691820583e-05,0.9999999971776852
"[np.float64(-24.289102683988176), np.float64(-5.300205669423693), np.float64(-24.188084324239973)]",RNN,0.0021928257774561644,0.04682761767863239,0.9467234015464783
"[np.float64(-24.289102683988176), np.float64(-5.300205669423693), np.float64(-24.188084324239973)]",Transfer,4.725907274405472e-05,0.006874523455778932,0.9988319277763367
"[np.float64(-24.289102683988176), np.float64(-5.300205669423693), np.float64(-24.188084324239973)]",MAML,0.00021645573724526912,0.014712434783042171,0.9947269558906555
"[np.float64(-24.289102683988176), np.float64(-5.300205669423693), np.float64(-24.188084324239973)]",PINN,0.0017160846618935466,0.04142565222049674,0.9585199356079102
"[np.float64(-24.289102683988176), np.float64(-5.300205669423693), np.float64(-24.188084324239973)]",Hybrid,0.0001105625051422976,0.010514870666931552,0.9971739649772644
"[np.float64(-24.289102683988176), np.float64(-5.300205669423693), np.float64(-24.188084324239973)]",RC(ESN),5.48925156743634e-08,0.00023429151857112414,0.9999987453175184
"[np.float64(-21.359340065538923), np.float64(-17.26822948106658), np.float64(-1.400630732648402)]",RNN,0.0023490197490900755,0.048466687003446765,0.9474814534187317
"[np.float64(-21.359340065538923), np.float64(-17.26822948106658), np.float64(-1.400630732648402)]",Transfer,3.581537021091208e-05,0.005984594406550211,0.9991378784179688
