IC,Method,MSE,RMSE,R2
"[0.0, 0.5]",RNN,0.000526369665749371,0.0229427475632142,0.987876296043396
"[0.0, 0.5]",Transfer,0.0009209867566823959,0.030347763619126795,0.9764378070831299
"[0.0, 0.5]",MAML,0.0012270850129425526,0.03502977323567129,0.9690817594528198
"[0.0, 0.5]",PINN,0.001009844010695815,0.031778042902227556,0.9777555465698242
"[0.0, 0.5]",Hybrid,0.0008699123281985521,0.029494276193840596,0.9785479307174683
"[0.0, 0.5]",RC(ESN),3.376527482066669e-07,0.0005810789517842363,0.9999919278777081
"[0.5, 0.5]",RNN,0.0006210508290678263,0.02492089141800161,0.9724886417388916
"[0.5, 0.5]",Transfer,0.0010012147249653935,0.031641977260680056,0.9516615271568298
"[0.5, 0.5]",MAML,0.0014965403825044632,0.03868514420943087,0.9313267469406128
"[0.5, 0.5]",PINN,0.0011308026732876897,0.03362740955363184,0.9542620182037354
"[0.5, 0.5]",Hybrid,0.0009721375536173582,0.031179120475365533,0.955298662185669
"[0.5, 0.5]",RC(ESN),6.778424603035143e-07,0.000823311885195103,0.9999706860064811
"[1.0, 0.0]",RNN,1.695960236247629e-05,0.004118203778648683,-5593.2470703125
"[1.0, 0.0]",Transfer,0.0011009515728801489,0.033180590303370866,-341749.78125
"[1.0, 0.0]",MAML,0.0004013402503915131,0.020033478239974034,-183261.765625
"[1.0, 0.0]",PINN,6.01767169428058e-05,0.007757365335138329,-25636.408203125
"[1.0, 0.0]",Hybrid,0.0009973261039704084,0.03158047029368639,-318872.75
"[1.0, 0.0]",RC(ESN),2.499982959171952e-07,0.0004999982959142913,0.0
"[1.5, 1.0]",RNN,0.0006183909135870636,0.024867466971669302,0.9932138919830322
"[1.5, 1.0]",Transfer,0.00037532817805185914,0.019373388398828406,0.9959889650344849
"[1.5, 1.0]",MAML,0.0004635349032469094,0.02152986073449871,0.9951282739639282
"[1.5, 1.0]",PINN,0.0008656594436615705,0.02942209108240899,0.9903160929679871
"[1.5, 1.0]",Hybrid,0.0003809996705967933,0.01951921285802256,0.9958007335662842
"[1.5, 1.0]",RC(ESN),1.1381475809313065e-08,0.00010668399978119054,0.9999998770072918
"[-1.0, 0.5]",RNN,0.0017438646173104644,0.04175960509045152,0.7746084928512573
"[-1.0, 0.5]",Transfer,0.002314304932951927,0.04810722329288947,0.7189528346061707
"[-1.0, 0.5]",MAML,0.004019566811621189,0.06340005371938726,0.5055389404296875
"[-1.0, 0.5]",PINN,0.00257515674456954,0.05074600225209411,0.6237740516662598
"[-1.0, 0.5]",Hybrid,0.002324154367670417,0.048209484208715785,0.7074471712112427
"[-1.0, 0.5]",RC(ESN),1.6954470276398378e-06,0.0013020933252420265,0.999747189230511
"[0.0, 1.0]",RNN,0.0005534102092497051,0.023524672351590895,0.9932221174240112
"[0.0, 1.0]",Transfer,0.00048702475032769144,0.022068637255791113,0.9941041469573975
"[0.0, 1.0]",MAML,0.0005890850443392992,0.0242710742312593,0.9928981065750122
"[0.0, 1.0]",PINN,0.0008608236676082015,0.029339796652468494,0.9894055128097534
"[0.0, 1.0]",Hybrid,0.0004714201495517045,0.02171221199122062,0.9942455291748047
"[0.0, 1.0]",RC(ESN),3.045031330543134e-08,0.00017450018139082647,0.9999996297431627
"[1.0, 1.5]",RNN,0.0007573969196528196,0.027520845184202093,0.9928531646728516
"[1.0, 1.5]",Transfer,0.00026752770645543933,0.01635627422292251,0.997492253780365
"[1.0, 1.5]",MAML,0.000358685792889446,0.018939001897920756,0.996697187423706
"[1.0, 1.5]",PINN,0.0009139629546552896,0.030231820233907348,0.9909782409667969
"[1.0, 1.5]",Hybrid,0.00031094468431547284,0.017633623686454037,0.9969290494918823
"[1.0, 1.5]",RC(ESN),1.8306831591084202e-09,4.278648336926535e-05,0.9999999826924999
"[2.0, 0.0]",RNN,0.002942916238680482,0.054248651952656685,0.9862973690032959
"[2.0, 0.0]",Transfer,0.001185160712338984,0.03442616319514831,0.9947092533111572
"[2.0, 0.0]",MAML,0.0026159752160310745,0.05114660512713502,0.9869016408920288
"[2.0, 0.0]",PINN,0.003198206890374422,0.05655269127437192,0.9836292862892151
"[2.0, 0.0]",Hybrid,0.0015156444860622287,0.03893127901908989,0.9930672645568848
"[2.0, 0.0]",RC(ESN),6.07057717702644e-08,0.0002463854130630797,0.9999996118218459
"[-2.0, 0.0]",RNN,0.0029435893520712852,0.05425485556216407,0.9862823486328125
"[-2.0, 0.0]",Transfer,0.0011809358838945627,0.034364747691414274,0.9947202205657959
"[-2.0, 0.0]",MAML,0.0026281150057911873,0.051265144160444795,0.9868505001068115
"[-2.0, 0.0]",PINN,0.003208378329873085,0.056642548758623894,0.9835823774337769
"[-2.0, 0.0]",Hybrid,0.0015106983482837677,0.038867703151636936,0.9930793642997742
"[-2.0, 0.0]",RC(ESN),6.106166912510482e-08,0.0002471065946613016,0.999999609427741
"[0.5, -1.0]",RNN,0.0005150694632902741,0.022695141843360973,0.9928860068321228
"[0.5, -1.0]",Transfer,0.0005974614759907126,0.024443025099007542,0.9916388988494873
"[0.5, -1.0]",MAML,0.0007334893452934921,0.027083008423982223,0.9897086024284363
"[0.5, -1.0]",PINN,0.0008665624773129821,0.0294374332663869,0.9880775213241577
"[0.5, -1.0]",Hybrid,0.0005658635054714978,0.023787885687288346,0.9921342134475708
"[0.5, -1.0]",RC(ESN),6.678593191049996e-08,0.0002584297426971206,0.9999990697249991
"[1.0, -1.5]",RNN,0.0007767536444589496,0.027870300401304424,0.9928048849105835
"[1.0, -1.5]",Transfer,0.000264521106146276,0.016264104836918508,0.9975565671920776
"[1.0, -1.5]",MAML,0.0003529464011080563,0.018786867783322912,0.9967902302742004
"[1.0, -1.5]",PINN,0.0009273032192140818,0.030451653800969196,0.9909743070602417
"[1.0, -1.5]",Hybrid,0.0003142852510791272,0.017728092144365878,0.9969387054443359
"[1.0, -1.5]",RC(ESN),1.3844375112445777e-09,3.7208030198393706e-05,0.9999999871302461
